Glottocode	Sources	Latitude	Longitude	Family	Macroarea
ombo1238	9	-2.32162	25.1748	Atlantic-Congo [atla1278]	Africa
mung1266	23	5.89752	10.0294	Atlantic-Congo [atla1278]	Africa
soga1242	26	0.40456	33.3942	Atlantic-Congo [atla1278]	Africa
tang1347	9	-15.5643	166.958	Austronesian [aust1307]	Papunesia
fali1285	3	10.5419	13.4087	Afro-Asiatic [afro1255]	Africa
khol1241	3	27.119682	54.295807	Indo-European [indo1319]	Eurasia
latu1238	7	-12.608792	-60.422423	Nambiquaran [namb1299]	South America
sout3001	7	18.2123	-97.9572	Otomanguean [otom1299]	North America
ango1257	2	6.54198	-71.9212	Chibchan [chib1249]	South America
barr1251	1	6.12622	-72.044	Chibchan [chib1249]	South America
lomw1241	11	-16.0381	37.2437	Atlantic-Congo [atla1278]	Africa
vene1258	15	45.503581	12.214167	Indo-European [indo1319]	Eurasia
urup1245	2	-10.25	-62.75	Chapacuran [chap1271]	South America
guam1236	2	8.2351027	-67.4018753		South America
