Glottocode	Sources	Latitude	Longitude	Family	Macroarea
sher1258	7	7.77585	-12.7405	Atlantic-Congo [atla1278]	africa
hooo1248	2	23.9596	87.1188	Austroasiatic [aust1305]	eurasia
kakw1240	0	3.65233	30.7762	Nilotic [nilo1247]	africa
koya1251	4	17.6772	81.2096	Dravidian [drav1251]	eurasia
weso1238	5	6.50013	-7.63427	Kru [krua1234]	africa
west2488	5	6.14415	-8.40954	Kru [krua1234]	africa
wewe1238	8	6.36463	-8.40234	Kru [krua1234]	africa
masa1299	12	1.05906	34.2829	Atlantic-Congo [atla1278]	africa
tote1238	1	-16.9575	24.3751	Atlantic-Congo [atla1278]	africa
kend1254	2	1.47957	109.467	Austronesian [aust1307]	pacific
wang1294	2	0.343	34.477	Atlantic-Congo [atla1278]	africa
bang1353	7	3.3466	28.04453	Atlantic-Congo [atla1278]	africa
brun1242	3	4.456045	114.429505	Austronesian [aust1307]	pacific
mong1338	54	-1.54228	20.4259	Atlantic-Congo [atla1278]	africa
shal1242	4	9.87556	9.64988	Atlantic-Congo [atla1278]	africa
shih1239	1	25.939	56.1711	Afro-Asiatic [afro1255]	eurasia
sout2774	4	4.44235	6.32192	Ijoid [ijoi1239]	africa
cita1245	0	-5.58276	139.461	Nuclear Trans New Guinea [nucl1709]	pacific
nanc1253	0	9.31975	16.1282	Afro-Asiatic [afro1255]	africa
gabr1253	1	9.33955	16.623	Afro-Asiatic [afro1255]	africa
milt1241	1	10.2347	17.4126	Afro-Asiatic [afro1255]	africa
musg1254	12	10.8439	15.1065	Afro-Asiatic [afro1255]	africa
ukra1253	20	49.796	29.945	Indo-European [indo1319]	eurasia
bata1294	0	2.51438	98.2427	Austronesian [aust1307]	pacific
keoo1238	5	-8.8704	121.256	Austronesian [aust1307]	pacific
bata1285	3	1.397041	9.51011	Atlantic-Congo [atla1278]	africa
yalu1240	7	9.97186	-11.2836	Mande [mand1469]	africa
tswa1255	10	-22.9891	32.4287	Atlantic-Congo [atla1278]	africa
sant1410	32	25.0317	87.8185	Austroasiatic [aust1305]	eurasia
isla1278	40	15.364795	-61.342957	Arawakan [araw1281]	northamerica
moni1261	0	-3.72962	136.886	Nuclear Trans New Guinea [nucl1709]	pacific
beja1238	55	17.2436	36.6666	Afro-Asiatic [afro1255]	africa
song1303	11	-5.71993	25.2765	Atlantic-Congo [atla1278]	africa
vaii1241	17	7.05085	-11.3262	Mande [mand1469]	africa
hija1235	9	22.8346	38.9237	Afro-Asiatic [afro1255]	eurasia
budz1238	0	2.19951	22.6107	Atlantic-Congo [atla1278]	africa
kuco1235	2	22.26	101.25	Sino-Tibetan [sino1245]	eurasia
nort2725	2	26.4492	94.5683	Sino-Tibetan [sino1245]	eurasia
muzi1235	2	23.086	103.464	Sino-Tibetan [sino1245]	eurasia
sani1265	1	25.2	102.12	Sino-Tibetan [sino1245]	eurasia
nyen1254	3	27.3732	90.3947	Sino-Tibetan [sino1245]	eurasia
kuja1239	3	11.7473	22.1956		africa
fore1274	1	63.72	71.97	Uralic [ural1272]	eurasia
suru1261	3	-5.9271	-48.588	Tupian [tupi1275]	southamerica
ache1245	1	10.8827	30.3187	Narrow Talodi [narr1279]	africa
sout2689	2	6.82744	93.8042	Austroasiatic [aust1305]	eurasia
koir1240	2	25.2857	94.2141	Sino-Tibetan [sino1245]	eurasia
siwi1239	10	29.200415	25.519627	Afro-Asiatic [afro1255]	africa
bakp1238	3	5.26756	8.26321	Atlantic-Congo [atla1278]	africa
pong1250	2	10.0823	6.3745	Atlantic-Congo [atla1278]	africa
goun1238	1	9.46683	16.255	Atlantic-Congo [atla1278]	africa
than1255	2	25.3472	93.8396	Sino-Tibetan [sino1245]	eurasia
kari1306	1	5.03525	25.7491	Atlantic-Congo [atla1278]	africa
xibe1242	13	43.5854	81.0034	Tungusic [tung1282]	eurasia
miya1259	7	24.7564	125.363	Japonic [japo1237]	eurasia
dima1251	3	25.4198	93.1806	Sino-Tibetan [sino1245]	eurasia
reye1240	3	-14.8333	-67.0833	Pano-Tacanan [pano1259]	southamerica
jonk1238	1	11.5034	19.0954	Afro-Asiatic [afro1255]	africa
talu1238	2	26.4	101.0	Sino-Tibetan [sino1245]	eurasia
souu1238	1	14.687	106.54	Austroasiatic [aust1305]	eurasia
rong1266	4	25.098	93.7869	Sino-Tibetan [sino1245]	eurasia
aman1266	4	-3.79772	-48.6613	Tupian [tupi1275]	southamerica
baim1244	3	33.1001	103.952	Sino-Tibetan [sino1245]	eurasia
komi1277	1	60.717	55.756	Uralic [ural1272]	eurasia
biky1238	1	6.74997	10.5333	Atlantic-Congo [atla1278]	africa
ghom1257	3	34.7979	-4.6696	Afro-Asiatic [afro1255]	africa
cint1239	2	-10.5879	-60.8312	Tupian [tupi1275]	southamerica
bogu1241	2	4.49213	29.1344	Atlantic-Congo [atla1278]	africa
sout2715	3	28.106	84.8511	Sino-Tibetan [sino1245]	eurasia
kats1235	1	24.6	102.4	Sino-Tibetan [sino1245]	eurasia
spit1240	3	32.526	77.833	Sino-Tibetan [sino1245]	eurasia
mzie1235	2	25.4779	93.71	Sino-Tibetan [sino1245]	eurasia
boor1242	1	10.0904	17.5648	Afro-Asiatic [afro1255]	africa
iten1243	20	-12.2994	-64.9841	Chapacuran [chap1271]	southamerica
