ID	Creators	Creator_Variants	Title	Title_Variants	Year	Sources
Ebling-2015-factors_to_consider_when	Ebling, Sarah and Konrad, Reiner and Braem, Penny Boyes and Langer, Gabriele		Factors to consider when making lexical comparisons of sign languages: Notes from an ongoing comparison of German Sign Language and Swiss German Sign Language		2015	braem-ebling-konrad-langer_consider-ongoing2015
Ebobissé-1988-les_verbaux_du_dangaleat	Ebobissé, Carl		Les verbaux du Dangaléat de l'Est (Guéra, Tchad): lexique francais-dangaléat et allemand-dangaléat		1988	ebobisse_dangaleat-allemand1988 ebobisse_dangaleat-allemand1988
Ehrich-2000-sortale_bedeutung_und_argumentstruktur	Ehrich, Veronika and Rapp, Irene		Sortale Bedeutung und Argumentstruktur: ung-Nominalisierungen im Deutschen [Sortal meaning and argument structure: ung-nominalizations in German]		2000	ehrich-rapp_sortale-nominalisierungen2000
Eichhorn-1854-the_practical_german_grammar	Eichhorn, Charles		The practical German grammar; or, a natural method of learning to read, write, and speak the German language		1854	eichhorn_write-speak1854
Eikel-1954-new_braunfels_texas_german	Eikel, Fred		New Braunfels Texas German		1954	eikel_braunfels-texas1954
Eisenberg-1983-writing_system_and_morphology	Eisenberg, Peter		Writing system and morphology. Some orthographic regularities of German		1983	eisenberg_orthographic-regularities1983
Eisman-2014-heidrun_hegewald_and_the	Eisman, April A.		Heidrun Hegewald and the Cold War Politics of the Family in East German Painting		2014	eisman_heidrun-hegewald2014
Elgersma-1999-optimality_theory_and_natural	Elgersma, Diana		Optimality Theory and Natural Morphology: An Analysis of German Plural Formation*		1999	elgersma_optimality-formation1999
Ellert-2013-information_structure_affects_the	Ellert, Miriam		Information structure affects the resolution of the subject pronouns er and der in spoken German discourse		2013	ellert_affects-er2013
Elsner-2015-adverbial_morphology_in_german	Elsner, Daniela		Adverbial morphology in German		2015	elsner_adverbial-german2015
Emonds-2007-discovering_syntax_clause_structures	Emonds, Joseph E.		Discovering Syntax. Clause Structures of English, German and Romance		2007	emonds_discovering-romance2007
Engel-1977-syntax_der_deutschen_gegenwartssprache	Engel, Ulrich		Syntax der deutschen Gegenwartssprache		1977	engel_deutschen-gegenwartssprache1977
Engel-1994-syntax_der_deutschen_gegenwartssprache	Engel, Ulrich		Syntax der deutschen Gegenwartssprache		1994	engel_deutschen-gegenwartssprache1994
Engel-2009-syntax_der_deutschen_gegenwartssprache	Engel, Ulrich		Syntax der deutschen Gegenwartssprache		2009	engel_deutschen-gegenwartssprache2009
Eppler-2010-emigranto_the_syntax_of	Eppler, Eva Duran		Emigranto: The Syntax of German-English Code-Switching		2010	eppler_emigranto-switching2010
Evert-2017-the_impact_of_translation	Evert, Stefan and Neumann, Stella		The impact of translation direction on characteristics of translated texts : A multivariate analysis for English and German		2017	evert-neumann_direction-multivariate2017
Fagan-1992-the_syntax_and_semantics	Fagan, Sarah		The syntax and semantics of middle constructions: A study with special reference to German		1992	fagan_middle-special1992
Fagan-2009-german_a_linguistic_introduction	Fagan, Sarah M. B.		German: A linguistic introduction		2009	fagan_german-introduction2009
Falk-2011-object_pronouns_in_german	Falk, Yehuda and Bardel, Camilla		Object pronouns in German L3 syntax. Evidence for the L2 status factor		2011	bardel-falk_l3-factor2011
Fanselow-2004-cyclic_phonologysyntax_interaction_movement	Fanselow, Gisbert		Cyclic Phonology-syntax interaction. Movement to First Position in German		2004	fanselow_cyclic-position2004
Fanselow-2004-cyclic_phonologysyntaxinteraction_ppt_movement	Fanselow, Gisbert		Cyclic Phonology-Syntax-Interaction: PPT Movement in German (and Other Languages)		2004	fanselow_cyclic-ppt2004
Farasyn-2018-the_interplay_between_genre	Farasyn, Melissa and Walkden, George and Watts, Sheila and Breitbarth, Anne		The interplay between genre variation and syntax in a historical Low German corpus		2018	breitbarth-farasyn-walkden-watts_interplay-low2018
Featherston-2005-magnitude_estimation_and_what	Featherston, Sam		Magnitude estimation and what it can do for your syntax: Some wh-constraints in German		2005	featherston_magnitude-estimation2005
